TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK_y,CFID_y,CFPARAMS_y,PLAYOFF_RANKING,SEASON
1610612741,Chicago Bulls,48,42,6,0.875,52.4,43.4,92.0,0.471,6.8,18.9,0.361,18.0,24.3,0.743,16.0,32.3,48.2,27.7,14.3,9.5,4.1,3.8,21.2,0.1,111.6,12.8,3,1,1,1,13,1,1,2,12,10,12,26,27,11,2,8,2,2,1,7,27,1,1,21,1,1,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,52.4,38.1,88.0,0.433,6.0,18.7,0.318,16.6,22.8,0.727,14.4,29.9,44.3,20.8,17.9,7.9,3.8,4.1,23.0,21.2,98.8,-12.8,3,1,1,1,13,10,24,6,7,18,1,3,3,14,22,6,8,2,11,4,1,27,6,29,3,1,10,Chicago Bulls,1,1996-97
1610612737,Atlanta Hawks,46,31,15,0.674,54.8,38.2,87.1,0.438,8.9,24.8,0.36,20.1,26.4,0.76,14.1,33.3,47.5,20.1,16.7,8.6,6.1,4.6,21.8,0.1,105.4,5.8,18,9,7,8,3,16,6,23,1,1,13,14,19,4,11,1,3,29,7,19,9,6,3,27,9,5,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,54.8,38.7,90.4,0.428,6.8,19.9,0.342,15.4,21.3,0.722,14.8,31.4,46.2,23.3,16.8,8.0,4.6,6.1,24.2,21.8,99.6,-5.8,18,9,7,8,3,13,29,3,21,25,6,1,1,8,25,20,26,10,21,5,6,9,14,27,5,5,10,Atlanta Hawks,0,1996-97
1610612750,Minnesota Timberwolves,48,23,25,0.479,52.1,38.0,85.1,0.447,4.7,13.8,0.343,22.0,29.2,0.756,13.5,29.9,43.4,23.3,16.8,8.4,7.7,5.9,24.3,0.2,102.9,-2.2,3,14,15,15,18,20,18,19,26,25,21,4,7,7,17,24,23,14,8,20,2,22,17,9,17,17,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,52.1,38.8,85.6,0.453,6.1,16.4,0.37,21.4,29.0,0.739,14.2,31.3,45.5,23.5,17.7,8.3,5.9,7.7,24.4,24.3,105.0,2.2,3,14,15,15,18,14,13,14,8,9,22,21,21,19,18,17,21,14,13,7,22,2,17,13,17,17,10,Minnesota Timberwolves,0,1996-97
1610612763,Vancouver Grizzlies,51,9,42,0.176,53.1,38.1,88.6,0.43,5.8,17.3,0.337,15.6,22.4,0.696,14.1,28.4,42.5,25.1,17.2,9.6,6.1,6.4,23.4,0.0,97.5,-12.1,1,29,29,29,10,18,3,27,19,19,23,29,29,27,10,28,27,7,14,6,8,27,8,29,29,29,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,53.1,41.7,88.4,0.472,6.6,18.1,0.363,19.7,26.7,0.736,16.7,33.8,50.5,26.7,17.9,9.6,6.4,6.1,21.2,23.4,109.6,12.1,1,29,29,29,10,29,25,27,15,14,18,12,12,16,29,29,29,28,8,24,27,8,1,22,28,29,10,Vancouver Grizzlies,0,1996-97
1610612762,Utah Jazz,47,33,14,0.702,53.0,40.6,83.0,0.49,4.4,12.2,0.362,22.7,29.9,0.759,11.8,32.3,44.1,28.2,17.0,9.7,5.1,5.2,26.6,0.3,108.4,7.1,13,6,5,6,11,3,28,1,28,28,10,2,5,6,29,7,18,1,11,4,16,11,26,4,4,4,10,Utah Jazz,Utah Jazz,47,33,14,0.702,53.0,35.6,82.3,0.432,6.8,20.1,0.337,23.3,31.4,0.744,12.8,29.5,42.3,21.2,17.9,8.4,5.2,5.1,26.3,26.6,101.3,-7.1,13,6,5,6,11,3,3,5,19,26,2,28,27,23,6,3,3,5,9,8,11,16,29,4,10,4,10,Utah Jazz,0,1996-97
1610612761,Toronto Raptors,46,17,29,0.37,52.3,36.9,86.0,0.429,8.1,22.0,0.366,19.3,26.3,0.734,14.4,30.4,44.9,21.8,18.6,9.0,6.8,6.2,25.7,0.1,101.1,-3.9,18,20,21,20,15,28,12,28,5,4,9,21,21,16,6,17,14,23,26,12,4,24,22,24,23,21,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,52.3,38.4,84.8,0.453,6.4,18.6,0.344,21.9,30.5,0.717,14.9,30.4,45.3,25.0,17.9,9.3,6.2,6.8,24.1,25.7,105.1,3.9,18,20,21,20,15,12,10,13,14,17,9,24,25,6,26,9,19,23,10,22,24,4,12,8,18,21,10,Toronto Raptors,0,1996-97
1610612760,Seattle SuperSonics,47,32,15,0.681,51.8,39.2,84.0,0.467,7.5,21.0,0.358,23.3,31.5,0.741,12.9,30.1,43.0,25.4,16.5,11.6,5.4,5.5,23.5,0.2,109.3,8.5,13,7,7,7,20,9,24,5,8,6,16,1,1,13,24,21,25,5,6,1,15,15,11,16,2,3,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,51.8,36.7,83.0,0.442,7.6,20.3,0.374,19.9,26.6,0.749,13.1,30.0,43.0,23.3,20.1,8.5,5.5,5.4,26.2,23.5,100.8,-8.5,13,7,7,7,20,5,6,12,28,29,24,14,10,27,7,7,6,11,1,11,15,15,28,19,7,3,10,Seattle SuperSonics,0,1996-97
1610612759,San Antonio Spurs,45,11,34,0.244,54.7,37.5,85.7,0.438,5.5,17.4,0.314,19.8,27.8,0.711,13.9,29.5,43.5,22.6,17.6,9.2,6.1,5.8,24.5,0.2,100.3,-7.3,26,27,26,27,4,25,15,24,22,18,29,16,11,24,12,26,21,18,18,9,10,18,18,13,27,28,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,54.7,40.2,87.4,0.46,7.0,19.0,0.368,20.3,27.8,0.731,14.8,32.0,46.8,25.8,17.3,9.2,5.8,6.1,23.9,24.5,107.7,7.3,26,27,26,27,4,23,23,20,23,19,21,17,17,15,24,24,27,27,16,20,19,10,10,12,27,28,10,San Antonio Spurs,0,1996-97
1610612758,Sacramento Kings,49,21,28,0.429,52.2,39.1,87.5,0.448,4.8,12.7,0.38,18.7,25.8,0.726,14.7,30.6,45.3,23.0,17.3,7.4,4.8,5.8,24.7,0.6,101.9,-4.7,2,17,19,19,16,11,4,18,25,27,5,25,24,18,5,16,12,16,15,28,21,19,19,1,20,23,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,52.2,39.3,85.3,0.461,5.5,15.7,0.348,21.8,29.9,0.727,13.7,30.9,44.6,23.6,16.6,9.2,5.8,4.7,23.4,24.6,105.8,4.7,2,17,19,19,16,17,11,22,5,4,10,23,23,13,15,15,10,15,23,21,17,21,8,11,19,23,10,Sacramento Kings,0,1996-97
1610612757,Portland Trail Blazers,48,25,23,0.521,52.4,38.5,84.6,0.456,6.9,19.3,0.357,21.5,29.9,0.719,14.3,32.7,47.0,22.1,18.5,7.4,6.2,6.3,26.5,0.2,105.5,3.1,3,11,13,13,14,14,21,13,10,9,17,7,6,21,8,6,4,22,25,27,7,26,25,10,8,11,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,52.4,36.8,84.5,0.435,5.7,16.2,0.354,23.1,31.2,0.741,12.7,28.0,40.7,21.6,15.7,8.5,6.3,6.2,25.5,26.5,102.4,-3.1,3,11,13,13,14,6,9,8,6,7,12,27,26,21,4,1,1,6,26,9,26,7,23,5,12,11,10,Portland Trail Blazers,0,1996-97
