TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID_y,CFPARAMS_y,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID_y,CFPARAMS_y,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,EFG_PCT_y,FTA_RATE,TM_TOV_PCT_y,OREB_PCT_y,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,EFG_PCT_RANK_y,FTA_RATE_RANK,TM_TOV_PCT_RANK_y,OREB_PCT_RANK_y,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID_y,CFPARAMS_y,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID_y,CFPARAMS_y,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK_y,CFID_y,CFPARAMS_y,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,DEF_RATING_y,DREB_y,DREB_PCT_y,STL_y,BLK_y,OPP_PTS_OFF_TOV_y,OPP_PTS_2ND_CHANCE_y,OPP_PTS_FB_y,OPP_PTS_PAINT_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,DEF_RATING_RANK_y,DREB_RANK_y,DREB_PCT_RANK_y,STL_RANK_y,BLK_RANK_y,OPP_PTS_OFF_TOV_RANK_y,OPP_PTS_2ND_CHANCE_RANK_y,OPP_PTS_FB_RANK_y,OPP_PTS_PAINT_RANK_y,CFID_y,CFPARAMS_y,PLAYOFF_RANKING,SEASON
1610612741,Chicago Bulls,48,42,6,0.875,52.4,43.4,92.0,0.471,6.8,18.9,0.361,18.0,24.3,0.743,16.0,32.3,48.2,27.7,14.3,9.5,4.1,3.8,21.2,0.1,111.6,12.8,3,1,1,1,13,1,1,2,12,10,12,26,27,11,2,8,2,2,1,7,27,1,1,21,1,1,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,2309.0,110.4,111.6,97.3,98.7,13.1,12.9,0.64,1.94,19.0,0.362,0.671,0.518,0.143,0.508,0.543,92.7,91.56,76.3,4403,0.592,3,1,1,1,12,1,3,1,7,1,2,4,10,3,1,4,7,16,1,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,52.4,21.4,17.9,13.9,39.1,14.9,15.7,11.1,41.7,3,1,1,1,12,5,1,13,24,1,18,6,11,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,2309.0,0.508,0.264,0.143,0.362,0.467,0.259,0.178,0.329,3,1,1,1,12,4,28,1,4,4,4,11,10,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,48.1,0.795,0.205,0.655,0.305,0.183,0.125,0.162,0.192,0.35,0.611,0.389,0.793,0.207,0.64,0.36,3,1,1,1,29,14,16,7,1,16,16,28,8,29,6,24,18,12,7,23,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,52.4,38.1,88.0,0.433,6.0,18.7,0.318,16.6,22.8,0.727,14.4,29.9,44.3,20.8,17.9,7.9,3.8,4.1,23.0,21.2,98.8,-12.8,3,1,1,1,13,10,24,6,7,18,1,3,3,14,22,6,8,2,11,4,1,27,6,29,3,1,10,Chicago Bulls,Chicago Bulls,48,42,6,0.875,52.4,98.7,32.3,0.671,9.5,4.1,14.9,15.7,11.1,41.7,3,1,1,1,13,3,8,10,7,27,1,18,6,11,10,Chicago Bulls,1,1996-97
1610612737,Atlanta Hawks,46,31,15,0.674,54.8,38.2,87.1,0.438,8.9,24.8,0.36,20.1,26.4,0.76,14.1,33.3,47.5,20.1,16.7,8.6,6.1,4.6,21.8,0.1,105.4,5.8,18,9,7,8,3,16,6,23,1,1,13,14,19,4,11,1,3,29,7,19,9,6,3,27,9,5,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,2228.0,104.1,105.4,97.9,99.5,6.2,5.9,0.527,1.21,14.7,0.336,0.667,0.506,0.167,0.49,0.534,88.9,87.65,73.04,4066,0.533,18,9,7,8,20,9,5,5,28,24,29,13,12,11,7,16,14,27,7,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,54.8,18.3,15.4,8.5,37.8,18.4,16.5,12.9,41.6,18,9,7,8,20,19,12,29,28,9,24,13,10,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,2228.0,0.49,0.303,0.167,0.336,0.466,0.236,0.168,0.333,18,9,7,8,20,16,21,7,13,2,1,21,12,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,48.4,0.716,0.284,0.555,0.196,0.254,0.081,0.19,0.174,0.359,0.473,0.527,0.702,0.298,0.527,0.473,18,9,7,8,12,28,2,29,19,1,29,19,21,26,28,2,28,2,28,2,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,54.8,38.7,90.4,0.428,6.8,19.9,0.342,15.4,21.3,0.722,14.8,31.4,46.2,23.3,16.8,8.0,4.6,6.1,24.2,21.8,99.6,-5.8,18,9,7,8,3,13,29,3,21,25,6,1,1,8,25,20,26,10,21,5,6,9,14,27,5,5,10,Atlanta Hawks,Atlanta Hawks,46,31,15,0.674,54.8,99.5,33.3,0.667,8.6,6.1,18.4,16.5,12.9,41.6,18,9,7,8,3,5,1,12,19,9,9,24,13,10,10,Atlanta Hawks,0,1996-97
1610612750,Minnesota Timberwolves,48,23,25,0.479,52.1,38.0,85.1,0.447,4.7,13.8,0.343,22.0,29.2,0.756,13.5,29.9,43.4,23.3,16.8,8.4,7.7,5.9,24.3,0.2,102.9,-2.2,3,14,15,15,18,20,18,19,26,25,21,4,7,7,17,24,23,14,8,20,2,22,17,9,17,17,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,2314.0,101.7,102.9,103.1,105.1,-1.4,-2.2,0.613,1.39,16.7,0.333,0.641,0.487,0.168,0.475,0.525,93.6,92.17,76.81,4445,0.495,3,14,15,15,9,17,17,18,13,12,14,18,25,23,8,21,19,13,16,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,52.1,19.4,15.3,10.6,38.4,18.3,14.8,14.0,44.3,3,14,15,15,9,12,16,26,26,8,13,19,17,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,2314.0,0.475,0.343,0.168,0.333,0.488,0.339,0.177,0.359,3,14,15,15,9,21,7,8,18,13,21,13,25,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,48.2,0.838,0.162,0.648,0.274,0.138,0.103,0.214,0.189,0.374,0.608,0.392,0.643,0.357,0.613,0.387,3,14,15,15,22,6,24,9,2,26,26,2,11,25,7,23,29,1,13,17,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,52.1,38.8,85.6,0.453,6.1,16.4,0.37,21.4,29.0,0.739,14.2,31.3,45.5,23.5,17.7,8.3,5.9,7.7,24.4,24.3,105.0,2.2,3,14,15,15,18,14,13,14,8,9,22,21,21,19,18,17,21,14,13,7,22,2,17,13,17,17,10,Minnesota Timberwolves,Minnesota Timberwolves,48,23,25,0.479,52.1,105.1,29.9,0.641,8.4,7.7,18.3,14.8,14.0,44.3,3,14,15,15,18,17,24,25,20,2,8,13,19,17,10,Minnesota Timberwolves,0,1996-97
1610612763,Vancouver Grizzlies,51,9,42,0.176,53.1,38.1,88.6,0.43,5.8,17.3,0.337,15.6,22.4,0.696,14.1,28.4,42.5,25.1,17.2,9.6,6.1,6.4,23.4,0.0,97.5,-12.1,1,29,29,29,10,18,3,27,19,19,23,29,29,27,10,28,27,7,14,6,8,27,8,29,29,29,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,2458.0,96.1,97.5,108.1,109.3,-12.0,-11.8,0.659,1.46,17.8,0.324,0.609,0.461,0.172,0.462,0.495,91.7,90.55,75.46,4630,0.425,1,29,29,29,1,29,28,29,5,7,8,22,29,29,14,28,28,20,29,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,53.1,18.4,15.4,13.6,41.6,19.4,17.5,16.2,49.9,1,29,29,29,1,18,11,15,19,16,27,26,28,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,2458.0,0.462,0.252,0.172,0.324,0.509,0.302,0.179,0.391,1,29,29,29,1,28,29,14,22,27,10,9,29,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,48.2,0.804,0.196,0.661,0.234,0.179,0.139,0.16,0.189,0.427,0.627,0.373,0.833,0.167,0.659,0.341,1,29,29,29,26,10,20,6,7,17,11,29,9,12,3,27,9,21,5,25,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,53.1,41.7,88.4,0.472,6.6,18.1,0.363,19.7,26.7,0.736,16.7,33.8,50.5,26.7,17.9,9.6,6.4,6.1,21.2,23.4,109.6,12.1,1,29,29,29,10,29,25,27,15,14,18,12,12,16,29,29,29,28,8,24,27,8,1,22,28,29,10,Vancouver Grizzlies,Vancouver Grizzlies,51,9,42,0.176,53.1,109.3,28.4,0.609,9.6,6.1,19.4,17.5,16.2,49.9,1,29,29,29,10,28,28,29,6,8,16,27,26,28,10,Vancouver Grizzlies,0,1996-97
1610612762,Utah Jazz,47,33,14,0.702,53.0,40.6,83.0,0.49,4.4,12.2,0.362,22.7,29.9,0.759,11.8,32.3,44.1,28.2,17.0,9.7,5.1,5.2,26.6,0.3,108.4,7.1,13,6,5,6,11,3,28,1,28,28,10,2,5,6,29,7,18,1,11,4,16,11,26,4,4,4,10,Utah Jazz,Utah Jazz,47,33,14,0.702,2281.0,106.9,108.4,100.0,100.9,6.8,7.4,0.695,1.66,19.9,0.311,0.687,0.508,0.17,0.516,0.563,91.8,90.74,75.62,4305,0.571,13,6,5,6,14,4,9,4,1,2,1,28,3,7,11,1,1,19,2,10,Utah Jazz,Utah Jazz,47,33,14,0.702,53.0,20.4,12.8,14.3,45.9,17.7,14.0,9.0,37.1,13,6,5,6,14,7,29,10,8,5,8,2,3,10,Utah Jazz,Utah Jazz,47,33,14,0.702,2281.0,0.516,0.36,0.17,0.311,0.474,0.381,0.179,0.313,13,6,5,6,14,1,3,11,28,8,27,10,3,10,Utah Jazz,Utah Jazz,47,33,14,0.702,48.5,0.853,0.147,0.668,0.244,0.122,0.132,0.209,0.188,0.424,0.688,0.312,0.747,0.253,0.695,0.305,13,6,5,6,10,3,27,4,4,28,14,5,12,14,1,29,25,5,1,29,10,Utah Jazz,Utah Jazz,47,33,14,0.702,53.0,35.6,82.3,0.432,6.8,20.1,0.337,23.3,31.4,0.744,12.8,29.5,42.3,21.2,17.9,8.4,5.2,5.1,26.3,26.6,101.3,-7.1,13,6,5,6,11,3,3,5,19,26,2,28,27,23,6,3,3,5,9,8,11,16,29,4,10,4,10,Utah Jazz,Utah Jazz,47,33,14,0.702,53.0,100.9,32.3,0.687,9.7,5.1,17.7,14.0,9.0,37.1,13,6,5,6,11,9,7,3,4,16,5,8,2,3,10,Utah Jazz,0,1996-97
1610612761,Toronto Raptors,46,17,29,0.37,52.3,36.9,86.0,0.429,8.1,22.0,0.366,19.3,26.3,0.734,14.4,30.4,44.9,21.8,18.6,9.0,6.8,6.2,25.7,0.1,101.1,-3.9,18,20,21,20,15,28,12,28,5,4,9,21,21,16,6,17,14,23,26,12,4,24,22,24,23,21,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,2228.0,99.4,101.1,103.7,105.3,-4.4,-4.2,0.591,1.17,15.7,0.349,0.644,0.494,0.186,0.476,0.518,93.1,91.58,76.32,4256,0.466,18,20,21,20,20,23,18,21,20,27,24,8,24,20,26,20,21,15,23,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,52.3,18.7,15.5,18.9,42.0,20.9,16.4,20.4,45.6,18,20,21,20,20,17,10,1,17,25,23,29,23,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,2228.0,0.476,0.305,0.186,0.349,0.49,0.359,0.179,0.356,18,20,21,20,20,20,19,26,8,16,24,8,24,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,48.4,0.744,0.256,0.57,0.155,0.239,0.187,0.191,0.185,0.415,0.551,0.449,0.735,0.265,0.591,0.409,18,20,21,20,12,26,4,27,26,3,1,17,18,17,19,11,26,4,20,10,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,52.3,38.4,84.8,0.453,6.4,18.6,0.344,21.9,30.5,0.717,14.9,30.4,45.3,25.0,17.9,9.3,6.2,6.8,24.1,25.7,105.1,3.9,18,20,21,20,15,12,10,13,14,17,9,24,25,6,26,9,19,23,10,22,24,4,12,8,18,21,10,Toronto Raptors,Toronto Raptors,46,17,29,0.37,52.3,105.3,30.4,0.644,9.0,6.8,20.9,16.4,20.4,45.6,18,20,21,20,15,18,17,24,12,4,25,23,29,23,10,Toronto Raptors,0,1996-97
1610612760,Seattle SuperSonics,47,32,15,0.681,51.8,39.2,84.0,0.467,7.5,21.0,0.358,23.3,31.5,0.741,12.9,30.1,43.0,25.4,16.5,11.6,5.4,5.5,23.5,0.2,109.3,8.5,13,7,7,7,20,9,24,5,8,6,16,1,1,13,24,21,25,5,6,1,15,15,11,16,2,3,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,2266.0,107.7,109.3,99.1,100.8,8.6,8.6,0.647,1.54,18.0,0.342,0.659,0.501,0.165,0.512,0.559,94.1,92.68,77.23,4373,0.561,13,7,7,7,17,2,7,3,6,4,5,11,21,15,6,3,2,9,3,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,51.8,22.7,16.5,16.9,48.3,18.1,15.8,11.8,38.1,13,7,7,7,17,1,4,3,3,6,19,7,4,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,2266.0,0.512,0.375,0.165,0.342,0.487,0.32,0.201,0.341,13,7,7,7,17,3,1,6,11,12,16,1,21,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,48.2,0.75,0.25,0.58,0.138,0.206,0.154,0.214,0.208,0.442,0.584,0.416,0.915,0.085,0.647,0.353,13,7,7,7,24,25,5,24,27,9,4,3,3,7,13,17,1,29,6,24,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,51.8,36.7,83.0,0.442,7.6,20.3,0.374,19.9,26.6,0.749,13.1,30.0,43.0,23.3,20.1,8.5,5.5,5.4,26.2,23.5,100.8,-8.5,13,7,7,7,20,5,6,12,28,29,24,14,10,27,7,7,6,11,1,11,15,15,28,19,7,3,10,Seattle SuperSonics,Seattle SuperSonics,47,32,15,0.681,51.8,100.8,30.1,0.659,11.6,5.4,18.1,15.8,11.8,38.1,13,7,7,7,20,7,21,21,1,15,6,19,7,4,10,Seattle SuperSonics,0,1996-97
1610612759,San Antonio Spurs,45,11,34,0.244,54.7,37.5,85.7,0.438,5.5,17.4,0.314,19.8,27.8,0.711,13.9,29.5,43.5,22.6,17.6,9.2,6.1,5.8,24.5,0.2,100.3,-7.3,26,27,26,27,4,25,15,24,22,18,29,16,11,24,12,26,21,18,18,9,10,18,18,13,27,28,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,2165.0,98.7,100.3,105.3,107.6,-6.6,-7.2,0.603,1.29,16.3,0.322,0.634,0.477,0.176,0.47,0.512,89.4,87.76,73.14,3957,0.452,26,27,26,27,26,27,27,28,17,17,19,24,27,28,18,25,26,26,26,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,54.7,19.0,14.2,14.2,45.6,18.9,17.6,13.5,44.2,26,27,26,27,26,13,25,11,9,13,29,17,16,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,2165.0,0.47,0.325,0.176,0.322,0.499,0.318,0.173,0.366,26,27,26,27,26,25,13,18,24,23,15,16,27,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,48.1,0.797,0.203,0.639,0.185,0.163,0.142,0.197,0.189,0.454,0.554,0.446,0.894,0.106,0.603,0.397,26,27,26,27,28,12,18,10,20,21,9,10,10,4,18,12,3,27,17,13,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,54.7,40.2,87.4,0.46,7.0,19.0,0.368,20.3,27.8,0.731,14.8,32.0,46.8,25.8,17.3,9.2,5.8,6.1,23.9,24.5,107.7,7.3,26,27,26,27,4,23,23,20,23,19,21,17,17,15,24,24,27,27,16,20,19,10,10,12,27,28,10,San Antonio Spurs,San Antonio Spurs,45,11,34,0.244,54.7,107.6,29.5,0.634,9.2,6.1,18.9,17.6,13.5,44.2,26,27,26,27,4,27,26,27,9,10,13,29,17,16,10,San Antonio Spurs,0,1996-97
1610612758,Sacramento Kings,49,21,28,0.429,52.2,39.1,87.5,0.448,4.8,12.7,0.38,18.7,25.8,0.726,14.7,30.6,45.3,23.0,17.3,7.4,4.8,5.8,24.7,0.6,101.9,-4.7,2,17,19,19,16,11,4,18,25,27,5,25,24,18,5,16,12,16,15,28,21,19,19,1,20,23,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,2371.0,100.3,101.1,104.4,106.0,-4.1,-4.8,0.586,1.32,16.4,0.351,0.663,0.505,0.173,0.475,0.515,92.7,91.91,76.59,4542,0.466,2,17,19,19,2,22,19,23,22,15,16,6,14,14,15,22,23,14,22,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,52.2,17.1,15.8,13.0,42.1,19.4,14.8,14.5,44.3,2,17,19,19,2,28,6,16,15,15,12,20,18,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,2371.0,0.475,0.295,0.173,0.351,0.493,0.351,0.166,0.337,2,17,19,19,2,22,24,15,6,18,23,23,14,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,48.4,0.854,0.146,0.673,0.257,0.143,0.129,0.184,0.17,0.416,0.56,0.44,0.786,0.214,0.588,0.412,2,17,19,19,18,2,28,3,3,25,15,25,25,16,17,13,20,10,22,8,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,52.2,39.3,85.3,0.461,5.5,15.7,0.348,21.8,29.9,0.727,13.7,30.9,44.6,23.6,16.6,9.2,5.8,4.7,23.4,24.6,105.8,4.7,2,17,19,19,16,17,11,22,5,4,10,23,23,13,15,15,10,15,23,21,17,21,8,11,19,23,10,Sacramento Kings,Sacramento Kings,49,21,28,0.429,52.2,106.0,30.6,0.663,7.4,4.8,19.4,14.8,14.5,44.3,2,17,19,19,16,19,16,14,28,21,15,12,20,18,10,Sacramento Kings,0,1996-97
1610612757,Portland Trail Blazers,48,25,23,0.521,52.4,38.5,84.6,0.456,6.9,19.3,0.357,21.5,29.9,0.719,14.3,32.7,47.0,22.1,18.5,7.4,6.2,6.3,26.5,0.2,105.5,3.1,3,11,13,13,14,14,21,13,10,9,17,7,6,21,8,6,4,22,25,27,7,26,25,10,8,11,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,2334.0,103.5,105.5,101.2,102.9,2.3,2.6,0.572,1.19,15.8,0.377,0.688,0.535,0.185,0.497,0.54,93.1,91.47,76.22,4457,0.518,3,11,13,13,3,8,13,11,23,25,23,1,2,1,25,12,11,17,12,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,52.4,17.6,15.7,12.1,46.6,20.9,13.5,13.4,42.5,3,11,13,13,3,26,7,21,4,26,2,15,13,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,2334.0,0.497,0.354,0.185,0.377,0.469,0.369,0.158,0.312,3,11,13,13,3,12,6,25,1,6,25,26,2,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,48.6,0.771,0.229,0.6,0.158,0.197,0.115,0.204,0.167,0.442,0.523,0.477,0.795,0.205,0.572,0.428,3,11,13,13,6,21,9,21,25,11,22,7,28,6,25,5,17,13,23,7,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,52.4,36.8,84.5,0.435,5.7,16.2,0.354,23.1,31.2,0.741,12.7,28.0,40.7,21.6,15.7,8.5,6.3,6.2,25.5,26.5,102.4,-3.1,3,11,13,13,14,6,9,8,6,7,12,27,26,21,4,1,1,6,26,9,26,7,23,5,12,11,10,Portland Trail Blazers,Portland Trail Blazers,48,25,23,0.521,52.4,102.9,32.7,0.688,7.4,6.2,20.9,13.5,13.4,42.5,3,11,13,13,14,13,6,2,27,7,26,2,15,13,10,Portland Trail Blazers,0,1996-97
